,date,Daily,Daily,Daily,Daily
,,sum,min,max,mean
0,2005-01-09,401757995.28930783,4183.483670686944,48583240.9853697,3192620.7863711007
1,2005-01-16,258371546.84918725,1206.1755374934453,14783369.857734663,1104151.9096119113
2,2005-01-23,228092564.36971685,1816.2669061352915,12268910.965343472,1022836.611523394
3,2005-01-30,230636953.53534874,2974.195422128999,13649871.45453068,1067763.6737747628
4,2005-02-06,199925934.7309707,2611.5645831148404,13091358.213759124,917091.4437200491
5,2005-02-13,217000359.74584985,2588.8497445255475,28753495.289009385,995414.4942470177
6,2005-02-20,256122178.14509907,3616.343008342023,20568586.07980188,1138320.791755996
7,2005-02-27,260565110.08301878,3294.477648592284,14670613.812815432,1104089.4495043168
8,2005-03-06,226750071.83770096,2845.13627004656,20860222.835126743,944791.9659904207
9,2005-03-13,211246708.04632697,3824.7352664252458,23739763.29751164,891336.3208705779
10,2005-03-20,222458868.04322815,1194.5580237972065,22732236.517206416,963025.4027845374
11,2005-03-27,213669647.89688566,389.9970926021728,12043727.459048113,958159.856039846
12,2005-04-03,226438502.79191232,523.578773926539,18027443.679342244,1088646.64803804
13,2005-04-10,167400432.24655706,1944.5846608427544,11591940.64255396,820590.3541497895
14,2005-04-17,154310379.00579652,773.2583710174719,13883840.325138748,724461.8732666504
15,2005-04-24,168272095.7523998,1194.2037564234329,14869636.461510794,793736.300718867
16,2005-05-01,168356957.10219544,180.15455761316872,12976277.498710176,790408.2493060819
17,2005-05-08,160160146.7850103,82.44361111111111,11085662.609573046,812995.6689594432
18,2005-05-15,187735062.92007717,38.16833847736626,14563511.229423871,1031511.3347256988
19,2005-05-22,359299167.2496245,1630.5514197530867,76357835.95485082,2053138.0985692828
20,2005-05-29,370477533.1196914,917.5668569958848,31936731.260185186,2245318.382543584
21,2005-06-05,340596436.9731325,1744.159233933162,22658379.172587447,2301327.2768454896
22,2005-06-12,290530487.65399486,4139.8985141388175,28833114.406061698,1949869.0446576837
23,2005-06-19,328090195.30840105,8028.015511568125,27493087.39567609,1941362.1024165743
24,2005-06-26,294047226.9142777,6259.44110025707,16273219.28539846,1547616.9837593562
25,2005-07-03,360445856.1048491,5091.420388945753,35211911.02047083,1793262.9656957667
26,2005-07-10,353603699.7349335,1944.2178096212897,32298306.210972365,1691883.7307891555
27,2005-07-17,346325441.3807677,4195.257492323439,31463512.24572672,1610816.0064221753
28,2005-07-24,339851340.37214434,2765.953618219038,16124573.939396111,1523997.042027553
29,2005-07-31,296073002.14718014,1452.0876765609007,11753404.2272262,1304286.3530712782
30,2005-08-07,268678269.36645114,1431.0934775967414,19109209.86398676,1238148.7067578393
31,2005-08-14,265002387.1411151,2242.600549898167,11695728.562601833,1274049.938178438
32,2005-08-21,251340612.6873982,2644.576120162933,12081103.750763748,1112126.6048114963
33,2005-08-28,210951293.6684827,1420.5151731160895,10185093.791242365,893861.4138495029
34,2005-09-04,187198937.53271604,167.20957746478874,8682836.54445171,776759.0768992367
35,2005-09-11,182804053.24554327,718.1054175050302,17846149.809748493,752280.0545084085
36,2005-09-18,151364588.89225352,1625.8145523138833,10453705.405216295,669754.8181073165
37,2005-09-25,171623580.3695322,694.2183350100604,15602234.603737423,752735.0016207553
38,2005-10-02,158959003.2499728,470.2769366197183,10016976.227128517,697188.6107454947
39,2005-10-09,183438331.47082835,178.7933734939759,10586400.34292169,767524.3994595328
40,2005-10-16,176664153.00793174,89.39668674698795,7587458.860798194,682100.9768646013
41,2005-10-23,159637134.0995934,175.813483935743,8841108.827560242,600139.6018781706
42,2005-10-30,177105867.99692774,98.33635542168676,18046169.446204823,614950.930544888
43,2005-11-06,243145003.860941,37.55022773279353,26067871.265156887,910655.4451720637
44,2005-11-13,244615694.02335528,46.56228238866397,18658642.072024293,899322.4044976297
45,2005-11-20,304435251.0360931,30.040182186234823,60258146.6766751,1184572.9612299344
46,2005-11-27,398022964.8283047,225.30136639676115,34202703.03488867,1617979.531822377
47,2005-12-04,170734764.36206782,225.30136639676115,13401435.706041668,699732.6408281468
48,2005-12-11,215408444.41282013,113.10861280487804,38194538.99367378,912747.6458170344
49,2005-12-18,265244657.21713924,1416.1198323170731,30321674.32398374,1128700.6690091032
50,2005-12-25,287884425.88025916,1559.3907418699189,13347721.179878049,1230275.324274612
51,2006-01-01,520820211.47664136,2919.7103252032525,18120542.69268293,2117155.3312058593
52,2006-01-08,310844496.3025416,1974.1565456379224,12011775.707478568,1334096.5506546851
53,2006-01-15,236204657.6667171,1538.6148058497229,8094230.422198689,1040549.1527168155
54,2006-01-22,249803809.39771056,2628.217508825013,15632952.050963188,1054024.5122266267
55,2006-01-29,227979008.88554212,1872.3804689863844,18397872.79121533,897555.1530926855
56,2006-02-05,193420672.40041852,1255.7371810388302,14667846.65354303,738246.8412229714
57,2006-02-12,210175027.0162909,1732.685052843483,13838358.039456468,793113.3094954374
58,2006-02-19,241287490.26126325,1218.854313034726,12569078.110301964,920944.6193177986
59,2006-02-26,249658771.38232514,4360.0928183190745,18523179.93578259,994656.4596905385
60,2006-03-05,183820546.64181694,2191.068943943944,9090306.834634636,729446.6136580037
61,2006-03-12,192190560.1482032,515.4582532532532,15271024.14422923,744924.6517372216
62,2006-03-19,207946364.60952953,5836.413478478479,15431731.25254755,841888.1158280547
63,2006-03-26,202645243.38602602,2792.684484484485,18188412.38923924,794687.2289648079
64,2006-04-02,250462669.81396887,1604.3081081081082,41169757.65595534,978369.8039608159
65,2006-04-09,213292296.4895385,899.9650967741936,23234101.369950373,860049.5826191069
66,2006-04-16,227009760.39532012,187.06312158808936,28010862.75829777,904421.3561566538
67,2006-04-23,215622767.15467,1682.0951563275437,11990034.664759306,891003.1700606198
68,2006-04-30,181860561.81980646,2230.0280794044666,10850371.00820844,777181.888118831
69,2006-05-07,192833088.37779754,2311.352439506173,26982696.13418272,800137.2961734338
70,2006-05-14,178945193.13675064,2085.64015308642,15213866.983911112,739442.946846077
71,2006-05-21,271178796.195121,1641.543901234568,41962440.850508645,1153952.3242345573
72,2006-05-28,356308448.0038519,1404.106301234568,66104775.03804939,1688665.630350009
73,2006-06-04,320731691.94282085,877.9328543209878,29475228.11913087,1812043.4573040726
74,2006-06-11,317919354.98586005,5165.057698373583,34054752.542232625,1870113.8528580002
75,2006-06-18,304748827.93702316,3804.677166091671,18891670.27666338,1665294.141732367
76,2006-06-25,304733081.16666836,2271.689211434204,21102407.126377527,1531322.0159129063
77,2006-07-02,360302308.9384104,1342.827235091178,26863507.756260443,1757572.2387239533
78,2006-07-09,478963502.1057494,879.4525356265357,81426803.87321867,2336407.3273451193
79,2006-07-16,382505903.4815037,385.033945945946,36238069.25055037,1893593.5815916026
80,2006-07-23,329067326.5237396,317.9446977886978,21389316.799012285,1621021.3129248256
81,2006-07-30,289699306.1173612,5202.333656019656,13394280.886879606,1366506.160930949
82,2006-08-06,301017126.8963103,2294.160594594595,26225502.56948014,1259485.8865954408
83,2006-08-13,292156899.86497307,4604.065282000981,12706924.691363417,1128018.9183975793
84,2006-08-20,239955163.4491908,4042.203379107406,8428563.185345758,875748.7717123752
85,2006-08-27,209112355.45297205,2117.8991417361453,9806234.015232958,749506.6503690755
86,2006-09-03,198449937.2577684,6253.260971064247,6712641.219645145,706227.5347251544
87,2006-09-10,162653247.40751603,1524.2113060620998,5289411.106771809,580904.455026843
88,2006-09-17,138281551.84433714,1805.0640611138488,9127012.407294234,497415.65411632066
89,2006-09-24,167572177.16100544,2965.0444504682114,17264176.83270577,587972.5514421243
90,2006-10-01,176359485.35272458,2221.95486939379,14967774.041601775,618805.2117639459
91,2006-10-08,193569876.80682856,1016.2870515361744,15801066.353478692,701340.1333580745
92,2006-10-15,207322398.20181865,598.5945441030724,14734013.484058471,782348.672459693
93,2006-10-22,189801700.61972746,364.7455698711596,8605351.0435778,747250.7898414467
94,2006-10-29,185596175.3746234,1506.046223984143,21284482.11487116,754455.9974578186
95,2006-11-05,228800914.03326002,1061.8802477700694,14934820.621186106,973620.9107798298
96,2006-11-12,238532185.86306205,1166.5668684863524,16972865.96619851,1006464.9192534264
97,2006-11-19,246050669.56113154,1443.479205955335,25228677.36973201,1047024.1257920491
98,2006-11-26,363708385.67208934,241.5618263027296,22568766.45341439,1547695.2581791035
99,2006-12-03,171450374.2088004,32.35646184340932,12100419.572993064,772298.9829225243
100,2006-12-10,170323744.4824975,7.353741328047572,8838536.710341923,834920.3160906741
101,2006-12-17,216475441.19202676,2976.794489593657,15508530.111204164,970741.8887534833
102,2006-12-24,272663827.04021806,1286.9047324083251,18518579.68983152,1122073.3623054242
103,2006-12-31,546702309.5373638,2172.295188305253,20205675.02531219,2017351.6957098295
104,2007-01-07,346618734.7981682,2570.3755681369066,16810265.01324994,1322972.270222016
105,2007-01-14,227874145.9986859,2835.770877796222,12523585.308908386,876439.0230718688
106,2007-01-21,211847769.2875514,1366.565903881116,8945465.626911905,753906.6522688662
107,2007-01-28,206914376.9319224,1032.255790056122,11310102.645438109,723476.8424193091
108,2007-02-04,171067999.44177982,510.4641791851558,9577961.905454082,596055.7471839018
109,2007-02-11,194577921.99604914,217.31189342453771,21355368.11210866,694921.1499858898
110,2007-02-18,285027594.9547369,21.877036250792383,25287491.18600092,1007164.6464831692
111,2007-02-25,249723336.64557076,3446.3624440414947,13176871.464803267,870116.15555948
112,2007-03-04,213360771.13261124,1553.7066841326114,25154184.576376174,738272.5644727033
113,2007-03-11,259285418.70588064,1375.933733296973,40622898.440760255,894087.6507099333
114,2007-03-18,240711557.71702737,602.6936625891153,18149378.205588453,841648.8032063894
115,2007-03-25,244131689.60420644,199.45257898632596,13712257.852477698,862656.1470113302
116,2007-04-01,230940833.17827508,179.2182593790175,17887069.158050567,813171.9478108278
117,2007-04-08,252711746.41041484,452.3337574872028,12680356.946469525,859563.7633007307
118,2007-04-15,233051335.34942862,254.16849230233305,12691712.677752728,795397.0489741592
119,2007-04-22,164174100.74200478,169.44566153488867,7997434.585975829,558415.3086462747
120,2007-04-29,136669320.53063586,554.2883504446359,5629453.005728497,495178.69757476763
121,2007-05-06,292840948.78980994,627.9937869381434,85409893.93285373,1148395.8776070978
122,2007-05-13,203926775.37599123,265.4701008420334,35936751.77762336,867773.5122382605
123,2007-05-20,293881122.08462656,151.28941230782547,67191762.77408884,1261292.3694619166
124,2007-05-27,368768006.7269619,127.02601599430628,61244226.29790959,1764440.2235739804
125,2007-06-03,310167764.0028902,1517.1758988982874,35780474.0964852,1543123.2039944788
126,2007-06-10,261562310.6417793,1320.509613538627,19821127.07631796,1294862.9239692045
127,2007-06-17,282836525.3572368,487.1783040239594,31325535.03428333,1393283.3761440236
128,2007-06-24,276535601.913147,985.7525917677776,16274426.288084587,1410895.928128301
129,2007-07-01,328562913.7814092,1520.3260649355016,24182484.005745087,1693623.2669144804
130,2007-07-08,513423134.34487927,805.0461356031475,41426246.42800014,2554343.9519645735
131,2007-07-15,456702424.801953,2727.182838131725,63024907.56741992,2378658.462510172
132,2007-07-22,346456628.51464486,6984.665764117927,17952493.202439763,1842854.406992792
133,2007-07-29,374261461.5564501,3995.308609258806,43826239.99343733,1959484.091918587
134,2007-08-05,369486603.9624325,6006.828571016319,36101874.78659754,1759460.0188687262
135,2007-08-12,345879253.0468216,3027.6814161420184,27056423.17847988,1453274.1724656369
136,2007-08-19,280935312.518226,1353.2494024057678,17609660.321157,1128254.26714147
137,2007-08-26,237220604.74535033,1127.7078353381398,9529498.070523337,908891.2059208825
138,2007-09-02,218244682.50036642,1999.8970598844733,15554674.019777125,796513.4397823592
139,2007-09-09,174235762.88719845,1303.9764593026046,8027597.959806226,629009.974322016
140,2007-09-16,139824296.74649143,472.6202887428654,8045815.194249125,480495.865108218
141,2007-09-23,164158202.89607176,1321.059120341503,13686290.64181016,512994.38405022427
142,2007-09-30,157242627.8041393,374.3949877691976,14750548.96586407,475053.2562058589
143,2007-10-07,144709581.02891797,129.26698606271776,10372577.572409734,462330.92980484973
144,2007-10-14,172415625.58313075,173.3029923038634,12486832.883543288,594536.6399418302
145,2007-10-21,168191298.38145652,110.8002737680438,8880930.307323774,581976.8110085
146,2007-10-28,176751254.5008376,73.86684917869587,20961107.719426047,609487.0844856469
147,2007-11-04,226494939.8420752,36.71534944356424,24927067.469989583,814729.9994319251
148,2007-11-11,200758607.22515786,1488.383781289104,15965421.170860754,727386.2580621662
149,2007-11-18,186080790.53502527,1413.5409535772233,14824673.851520386,704851.4792993382
150,2007-11-25,344654466.68525106,288.074280249504,20264898.736750454,1267112.0098722465
151,2007-12-02,155088984.31369662,374.2141385594047,10153834.370950695,610586.5524161285
152,2007-12-09,141957389.28112802,365.98689272315227,14450123.416938052,601514.361360712
153,2007-12-16,256828388.20409834,577.9484136052868,42476221.15562094,1146555.3044825818
154,2007-12-23,301809100.058928,105.98076044106725,23653971.686677523,1335438.4958359646
155,2007-12-30,539866933.3828725,35.32692014702242,19297157.73494068,2060560.8144384446
156,2008-01-13,388091230.6495841,16.95692167057076,13610305.01294296,1391007.9951597997
157,2008-01-20,233265629.40890184,28.121754784915677,11630100.401061209,833091.5336032208
158,2008-01-27,264560980.46480483,80.14700113700967,24134843.619442865,893787.0961648811
159,2008-02-03,286458208.39602995,106.86266818267954,10753517.182660604,897988.1140941378
160,2008-02-10,225600907.35945037,37.96436895963616,18367263.691175427,671431.2719031262
161,2008-02-17,206587484.31892884,308.44354796804805,12919959.959866412,637615.692342373
162,2008-02-24,260629007.7063956,65.89475797499209,14975520.296589874,775681.5705547488
163,2008-03-02,227097868.4600152,70.10080635637456,13936610.924211005,665976.1538416868
164,2008-03-09,167625793.8779773,284.6092738068807,8251289.636235061,500375.5041133651
165,2008-03-16,180244811.98414263,108.41747218163428,19482066.543938037,556311.1480992057
166,2008-03-23,205217578.5491177,180.69578696939044,26095186.2450873,653559.167353878
167,2008-03-30,217219694.3425921,33.35922220973362,14128477.09608576,676696.8671108788
168,2008-04-06,208696126.7346812,13.899675920722345,13300209.307645837,660430.7808059531
169,2008-04-13,167469232.9112024,385.4632092466822,8635204.840263845,558230.7763706747
170,2008-04-20,161048610.87722918,95.3296108889644,13158912.642314838,535045.2188612266
171,2008-04-27,154509665.49593386,84.27690238009897,11047227.747033603,536491.8940831036
172,2008-05-04,159102322.85684028,26.25018270855541,9679361.121039182,525090.1744450175
173,2008-05-11,253292212.6323035,91.18484519813988,51171559.755267,827752.3288637369
174,2008-05-18,223515148.82553363,95.90360611544,29284342.863995165,760255.6082501144
175,2008-05-25,223273314.1821984,438.41648509915433,27943739.23534381,759433.041436049
176,2008-06-01,315992043.7416356,338.4027244359098,50053241.50487001,1248980.4100459905
177,2008-06-08,339220973.18930775,177.68620524187102,36689346.63293512,1507648.7697302566
178,2008-06-15,316739942.2028335,84.09576125951146,30721996.42888285,1433212.4081576176
179,2008-06-22,336934692.8861596,31.19681466078651,29119005.075634677,1517723.8418295477
180,2008-06-29,294203625.0738478,33.90958115302882,19494383.55057469,1381237.6764030412
181,2008-07-06,340819203.59876156,17.632982199574986,31419408.00254096,1730046.7187754393
182,2008-07-13,385417756.02908593,101.72874345908645,34786798.580622286,1946554.3233792218
183,2008-07-20,310038453.96900856,384.54994908257714,18524702.062973943,1557982.1807487868
184,2008-07-27,439304641.39771515,296.8455747304105,90625728.80254953,2132546.8029015297
185,2008-08-03,425158422.3563993,678.6969276790747,38148021.50223673,2063875.83668155
186,2008-08-10,332278462.72882366,3980.124635987695,23288944.73654181,1589849.1039656634
187,2008-08-17,295582222.0686397,1933.164688752362,16372535.306514336,1331451.4507596383
188,2008-08-24,263455164.02149385,1236.8460832732353,12982062.477643482,1125876.7693226233
189,2008-08-31,219613313.55515644,2884.167920360041,8774973.198611505,828729.485113798
190,2008-09-07,185418269.17735958,2181.0757875902614,5831196.8833882585,637176.1827400672
191,2008-09-14,146068850.49652854,594.1827564298873,4609260.136729089,503685.6913673398
192,2008-09-21,158501123.51757678,678.290817842337,10767982.042686136,574279.4330346985
193,2008-09-28,156507900.8334286,841.0806141244979,8803891.949164242,553031.4517082282
194,2008-10-05,164658252.79669356,1344.372400963512,16793044.029824074,569751.7397809466
195,2008-10-12,186813518.84157446,223.37923471531545,17106155.674414635,618587.8107336903
196,2008-10-19,177022528.92268196,98.6705822055381,10356524.606982404,572888.4431154756
197,2008-10-26,180910473.28182185,13.704247528546958,9650306.3599433,581705.7018708098
198,2008-11-02,217317821.36579353,472.79653973487,23244312.81009637,726815.4560728881
199,2008-11-09,155753627.95223022,738.658941788681,11482696.94359892,526194.6890278048
200,2008-11-16,235845217.20477346,339.51592797457926,38466140.28329057,775806.635542018
201,2008-11-23,269668091.54998237,129.93819465693775,37733808.61820407,933107.583217932
202,2008-11-30,268332500.15983525,1067.4492550311877,50268404.14902201,1048173.8287493564
203,2008-12-07,358625069.21377426,1845.68123808403,18293988.64545604,1368797.974098375
204,2008-12-14,155927323.13248,1063.0750470917292,9839164.743488025,592879.5556368061
205,2008-12-21,159398905.52397874,660.7159655231463,16829312.36113648,603783.733045374
206,2008-12-28,164855714.91786063,529.4198441691877,9382905.074638013,601663.1931308781
207,2009-01-04,452749467.0456124,232.94473143444264,20302869.84160055,1545220.0240464588
208,2009-01-11,465908984.2827239,518.1255541602451,13995130.56537039,1558224.0277014177
209,2009-01-18,260362157.6601403,215.06723405464547,17076445.214721777,885585.5702725861
210,2009-01-25,326521362.29560536,19.67935475009828,18605096.72733172,1129831.7034450013
211,2009-02-01,323267673.3666615,106.83078292910491,14149665.50988193,1092120.518130613
212,2009-02-08,231856726.5652897,368.2850674661249,16383137.329871226,849292.0387006949
213,2009-02-15,265696796.9652015,286.7360610387713,15274333.46037334,973248.3405318736
214,2009-02-22,313346252.90406376,1386.124080436207,26985983.950752385,1135312.5105219702
215,2009-03-01,286085546.4338739,1170.7223565339102,23243928.69195968,976401.1823681702
216,2009-03-08,201068589.25785235,3331.733158021236,10947114.241775176,674726.8095901086
217,2009-03-15,199077982.02293748,2773.8950208970946,34207332.93976278,696076.8602200611
218,2009-03-22,180305759.09457055,1766.4743945954333,15207014.354023574,650923.3180309406
219,2009-03-29,192437675.0089465,8971.903915678227,13775617.547908176,672859.003527785
220,2009-04-05,247550731.48907197,3375.277693938668,33885018.338081606,884109.7553181142
221,2009-04-12,264936477.3745052,1041.0999624835863,42535656.07817483,981246.2124981674
222,2009-04-19,256612680.71369818,228.262558619396,24268339.37213937,994622.7934639464
223,2009-04-26,214842707.72704935,98.8209857437629,13107220.265109736,829508.5240426615
224,2009-05-03,201122823.7953808,868.5111986494092,15601602.521614144,814262.4445157117
225,2009-05-10,255552605.90557146,1302.7667979741138,47788501.32475592,1060384.256869591
226,2009-05-17,260351195.51977035,1461.3910341538233,37816598.98511616,1075831.386445332
227,2009-05-24,251959616.18585408,649.5071262905882,25375285.817512725,1076750.496520744
228,2009-05-31,318619748.3011653,1569.6422218689213,27877417.6487169,1379306.2697020143
229,2009-06-07,342384237.015777,1830.5553409771064,36630979.23950229,1563398.3425377945
230,2009-06-14,309211961.8319046,926.0587084420914,24575725.36439755,1508351.033326364
231,2009-06-21,294524442.29737175,850.3778333093795,18275797.50743881,1363539.0847100543
232,2009-06-28,302668757.11382383,379.7803915750627,17512663.210966513,1455138.2553549223
233,2009-07-05,488431970.20315915,1391.1520865303928,85335657.75139667,2325866.524776948
234,2009-07-12,419318603.354003,1036.139981362399,24793426.95272834,1863638.2371289022
235,2009-07-19,322305535.57162035,1081.887917864324,19846186.42033239,1534788.2646267635
236,2009-07-26,418504099.8454477,534.7420536705193,80177420.84022829,1983431.752822027
237,2009-08-02,318708077.7003683,6360.398396106822,15961081.426643018,1503339.9891526806
238,2009-08-09,284780628.1618475,6025.495511978121,11976885.147085458,1222234.4556302465
239,2009-08-16,286898364.7487653,3573.9290519565966,30471633.998772204,1205455.3140704425
240,2009-08-23,291873755.28003466,4555.76258142832,19477022.25735519,1221229.1015901032
241,2009-08-30,266911193.34047928,3465.294809900201,19778666.544738088,1071932.5033754187
242,2009-09-06,239383365.78599295,1767.0253296514916,14914612.36040661,946179.3114070868
243,2009-09-13,185248598.34392074,1699.956424301636,6255324.294898806,707055.7188699265
244,2009-09-20,191480590.48483813,1103.528705508661,13587420.503405582,693770.2553798483
245,2009-09-27,170044423.0714223,2716.906912566156,18075255.990294907,596647.0984962187
246,2009-10-04,165109615.85682207,1368.7603869073805,15369791.144979144,561597.3328463336
247,2009-10-11,177635438.68958443,986.7168250998986,12973645.348455202,578617.0641354541
248,2009-10-18,186689157.21839514,2430.095199766858,18368670.86981964,612095.5974373611
249,2009-10-25,240816037.7920732,1177.9783510734262,16935911.452869643,830400.1303174938
250,2009-11-01,205521984.50898108,891.0349065811813,11860768.835902989,696684.6932507834
251,2009-11-08,177287773.15935916,420.1181531800331,11424245.147778856,573746.8387034277
252,2009-11-15,205570673.62682015,266.1610410021726,18017441.027287018,682959.0485940869
253,2009-11-22,248527475.53814542,1116.7788009060232,33885255.73031017,828424.9184604847
254,2009-11-29,400405139.3725651,703.8175981139925,99746942.52271068,1348165.452432879
255,2009-12-06,429082006.3084547,552.9015439375029,24299218.88507373,1435056.8772858016
256,2009-12-13,185926768.46793783,880.8009707391486,11748091.919499513,650093.5960417406
257,2009-12-20,170394772.46918023,254.26116814618268,14462160.84014281,595785.9177244063
258,2009-12-27,231727557.99124333,412.3154078046205,36767675.36271528,821728.9290469622
259,2010-01-03,553997794.2106655,214.40401205840269,38859910.80107804,2029295.949489617
